region,date,confirm
England,2021-11-29,669
Wales,2021-11-29,21
United Kingdom,2021-11-29,811
Scotland,2021-11-30,77
Northern Ireland,2021-11-30,34
England,2021-11-30,699
Wales,2021-11-30,29
United Kingdom,2021-11-30,839
Scotland,2021-12-01,74
Northern Ireland,2021-12-01,23
England,2021-12-01,698
Wales,2021-12-01,30
United Kingdom,2021-12-01,825
Scotland,2021-12-02,64
Northern Ireland,2021-12-02,42
England,2021-12-02,719
Wales,2021-12-02,17
United Kingdom,2021-12-02,842
Scotland,2021-12-03,52
Northern Ireland,2021-12-03,28
England,2021-12-03,624
Wales,2021-12-03,30
United Kingdom,2021-12-03,734
Scotland,2021-12-04,62
Northern Ireland,2021-12-04,27
England,2021-12-04,635
Wales,2021-12-04,25
United Kingdom,2021-12-04,749
Scotland,2021-12-05,63
Northern Ireland,2021-12-05,28
England,2021-12-05,728
Wales,2021-12-05,26
United Kingdom,2021-12-05,845
Scotland,2021-12-06,94
Northern Ireland,2021-12-06,27
England,2021-12-06,736
Wales,2021-12-06,15
United Kingdom,2021-12-06,872
Scotland,2021-12-07,94
Northern Ireland,2021-12-07,27
England,2021-12-07,799
Wales,2021-12-07,23
United Kingdom,2021-12-07,943
Scotland,2021-12-08,81
Northern Ireland,2021-12-08,26
England,2021-12-08,754
Wales,2021-12-08,27
United Kingdom,2021-12-08,888
Scotland,2021-12-09,101
Northern Ireland,2021-12-09,24
England,2021-12-09,799
Wales,2021-12-09,32
United Kingdom,2021-12-09,956
Scotland,2021-12-10,70
Northern Ireland,2021-12-10,19
England,2021-12-10,707
Wales,2021-12-10,27
United Kingdom,2021-12-10,823
Scotland,2021-12-11,47
Northern Ireland,2021-12-11,25
England,2021-12-11,696
Wales,2021-12-11,22
United Kingdom,2021-12-11,790
Scotland,2021-12-12,47
Northern Ireland,2021-12-12,27
England,2021-12-12,772
Wales,2021-12-12,20
United Kingdom,2021-12-12,866
Scotland,2021-12-13,90
Northern Ireland,2021-12-13,27
England,2021-12-13,794
Wales,2021-12-13,13
United Kingdom,2021-12-13,924
Scotland,2021-12-14,78
Northern Ireland,2021-12-14,25
England,2021-12-14,815
Wales,2021-12-14,33
United Kingdom,2021-12-14,951
Scotland,2021-12-15,89
Northern Ireland,2021-12-15,33
England,2021-12-15,805
Wales,2021-12-15,24
United Kingdom,2021-12-15,951
Scotland,2021-12-16,93
Northern Ireland,2021-12-16,33
England,2021-12-16,777
Wales,2021-12-16,22
United Kingdom,2021-12-16,925
Scotland,2021-12-17,81
Northern Ireland,2021-12-17,33
England,2021-12-17,743
Wales,2021-12-17,27
United Kingdom,2021-12-17,884
Scotland,2021-12-18,57
Northern Ireland,2021-12-18,20
England,2021-12-18,735
Wales,2021-12-18,21
United Kingdom,2021-12-18,833
Scotland,2021-12-19,53
Northern Ireland,2021-12-19,17
England,2021-12-19,926
Wales,2021-12-19,21
United Kingdom,2021-12-19,1017
Scotland,2021-12-20,118
Northern Ireland,2021-12-20,18
England,2021-12-20,1061
Wales,2021-12-20,18
United Kingdom,2021-12-20,1215
Scotland,2021-12-21,94
Northern Ireland,2021-12-21,32
England,2021-12-21,1098
Wales,2021-12-21,32
United Kingdom,2021-12-21,1256
Scotland,2021-12-22,111
Northern Ireland,2021-12-22,31
England,2021-12-22,1246
Wales,2021-12-22,25
United Kingdom,2021-12-22,1413
Scotland,2021-12-23,97
Northern Ireland,2021-12-23,24
England,2021-12-23,1252
Wales,2021-12-23,28
United Kingdom,2021-12-23,1401
Scotland,2021-12-24,102
Northern Ireland,2021-12-24,33
England,2021-12-24,1020
Wales,2021-12-24,32
United Kingdom,2021-12-24,1187
Scotland,2021-12-25,72
Northern Ireland,2021-12-25,22
England,2021-12-25,1281
Wales,2021-12-25,32
United Kingdom,2021-12-25,1407
Scotland,2021-12-26,114
Northern Ireland,2021-12-26,32
England,2021-12-26,1374
Wales,2021-12-26,24
United Kingdom,2021-12-26,1544
Scotland,2021-12-27,138
Northern Ireland,2021-12-27,46
England,2021-12-27,1751
Wales,2021-12-27,21
United Kingdom,2021-12-27,1956
Scotland,2021-12-28,151
Northern Ireland,2021-12-28,39
England,2021-12-28,2082
Wales,2021-12-28,32
United Kingdom,2021-12-28,2304
Scotland,2021-12-29,170
Northern Ireland,2021-12-29,40
England,2021-12-29,2370
Wales,2021-12-29,36
United Kingdom,2021-12-29,2616
Scotland,2021-12-30,170
Northern Ireland,2021-12-30,53
England,2021-12-30,2114
Wales,2021-12-30,52
United Kingdom,2021-12-30,2389
Scotland,2021-12-31,202
Northern Ireland,2021-12-31,59
England,2021-12-31,1781
Wales,2021-12-31,53
United Kingdom,2021-12-31,2095
Scotland,2022-01-01,127
Northern Ireland,2022-01-01,43
England,2022-01-01,1819
Wales,2022-01-01,76
United Kingdom,2022-01-01,2065
Scotland,2022-01-02,153
Northern Ireland,2022-01-02,36
England,2022-01-02,1881
Wales,2022-01-02,43
United Kingdom,2022-01-02,2113
Scotland,2022-01-03,153
Northern Ireland,2022-01-03,49
England,2022-01-03,2219
Wales,2022-01-03,41
United Kingdom,2022-01-03,2462
Scotland,2022-01-04,187
Northern Ireland,2022-01-04,42
England,2022-01-04,2101
Wales,2022-01-04,57
United Kingdom,2022-01-04,2387
Scotland,2022-01-05,155
Northern Ireland,2022-01-05,52
England,2022-01-05,2139
Wales,2022-01-05,47
United Kingdom,2022-01-05,2393
Scotland,2022-01-06,177
Northern Ireland,2022-01-06,52
England,2022-01-06,2043
Wales,2022-01-06,56
United Kingdom,2022-01-06,2328
Scotland,2022-01-07,172
Northern Ireland,2022-01-07,39
England,2022-01-07,1772
Wales,2022-01-07,45
United Kingdom,2022-01-07,2028
Scotland,2022-01-08,147
Northern Ireland,2022-01-08,37
England,2022-01-08,1862
Wales,2022-01-08,40
United Kingdom,2022-01-08,2086
Scotland,2022-01-09,157
Northern Ireland,2022-01-09,38
England,2022-01-09,1975
Wales,2022-01-09,42
United Kingdom,2022-01-09,2212
Scotland,2022-01-10,169
Northern Ireland,2022-01-10,45
England,2022-01-10,2180
Wales,2022-01-10,46
United Kingdom,2022-01-10,2440
Scotland,2022-01-11,178
Northern Ireland,2022-01-11,42
England,2022-01-11,2127
Wales,2022-01-11,49
United Kingdom,2022-01-11,2396
Scotland,2022-01-12,149
Northern Ireland,2022-01-12,45
England,2022-01-12,1955
Wales,2022-01-12,38
United Kingdom,2022-01-12,2187
Scotland,2022-01-13,156
Northern Ireland,2022-01-13,40
England,2022-01-13,1916
Wales,2022-01-13,38
United Kingdom,2022-01-13,2150
Scotland,2022-01-14,151
Northern Ireland,2022-01-14,38
England,2022-01-14,1692
Wales,2022-01-14,48
United Kingdom,2022-01-14,1929
Scotland,2022-01-15,95
Northern Ireland,2022-01-15,33
England,2022-01-15,1604
Wales,2022-01-15,47
United Kingdom,2022-01-15,1779
Scotland,2022-01-16,92
Northern Ireland,2022-01-16,25
England,2022-01-16,1768
Wales,2022-01-16,42
United Kingdom,2022-01-16,1927
Scotland,2022-01-17,134
Northern Ireland,2022-01-17,35
England,2022-01-17,1808
Wales,2022-01-17,31
United Kingdom,2022-01-17,2008
Scotland,2022-01-18,133
Northern Ireland,2022-01-18,39
England,2022-01-18,1794
Wales,2022-01-18,31
United Kingdom,2022-01-18,1997
Scotland,2022-01-19,127
Northern Ireland,2022-01-19,36
England,2022-01-19,1778
Wales,2022-01-19,36
United Kingdom,2022-01-19,1977
Scotland,2022-01-20,118
Northern Ireland,2022-01-20,35
England,2022-01-20,1698
Wales,2022-01-20,40
United Kingdom,2022-01-20,1891
Scotland,2022-01-21,127
Northern Ireland,2022-01-21,42
England,2022-01-21,1453
Wales,2022-01-21,33
United Kingdom,2022-01-21,1655
Scotland,2022-01-22,92
Northern Ireland,2022-01-22,30
England,2022-01-22,1277
Wales,2022-01-22,22
United Kingdom,2022-01-22,1421
Scotland,2022-01-23,86
Northern Ireland,2022-01-23,27
England,2022-01-23,1535
Wales,2022-01-23,25
United Kingdom,2022-01-23,1673
Scotland,2022-01-24,124
Northern Ireland,2022-01-24,25
England,2022-01-24,1593
Wales,2022-01-24,19
United Kingdom,2022-01-24,1761
Scotland,2022-01-25,125
Northern Ireland,2022-01-25,50
England,2022-01-25,1681
Wales,2022-01-25,23
United Kingdom,2022-01-25,1879
Scotland,2022-01-26,93
Northern Ireland,2022-01-26,41
England,2022-01-26,1689
Wales,2022-01-26,23
United Kingdom,2022-01-26,1846
Scotland,2022-01-27,86
Northern Ireland,2022-01-27,29
England,2022-01-27,1503
Wales,2022-01-27,29
United Kingdom,2022-01-27,1647
Scotland,2022-01-28,97
Northern Ireland,2022-01-28,34
England,2022-01-28,1342
Wales,2022-01-28,31
United Kingdom,2022-01-28,1504
Scotland,2022-01-29,63
Northern Ireland,2022-01-29,23
England,2022-01-29,1325
Wales,2022-01-29,14
United Kingdom,2022-01-29,1425
Scotland,2022-01-30,77
Northern Ireland,2022-01-30,31
England,2022-01-30,1285
Wales,2022-01-30,20
United Kingdom,2022-01-30,1413
Scotland,2022-01-31,115
Northern Ireland,2022-01-31,33
England,2022-01-31,1451
Wales,2022-01-31,25
United Kingdom,2022-01-31,1624
Scotland,2022-02-01,121
Northern Ireland,2022-02-01,45
England,2022-02-01,1537
Wales,2022-02-01,30
United Kingdom,2022-02-01,1733
Scotland,2022-02-02,84
Northern Ireland,2022-02-02,57
England,2022-02-02,1451
Wales,2022-02-02,23
United Kingdom,2022-02-02,1615
Scotland,2022-02-03,97
Northern Ireland,2022-02-03,38
England,2022-02-03,1292
Wales,2022-02-03,29
United Kingdom,2022-02-03,1456
Scotland,2022-02-04,117
Northern Ireland,2022-02-04,42
England,2022-02-04,1186
Wales,2022-02-04,34
United Kingdom,2022-02-04,1379
Scotland,2022-02-05,72
Northern Ireland,2022-02-05,38
England,2022-02-05,1077
Wales,2022-02-05,22
United Kingdom,2022-02-05,1209
Scotland,2022-02-06,57
Northern Ireland,2022-02-06,26
England,2022-02-06,1211
Wales,2022-02-06,29
United Kingdom,2022-02-06,1323
Scotland,2022-02-07,105
Northern Ireland,2022-02-07,48
England,2022-02-07,1234
Wales,2022-02-07,18
United Kingdom,2022-02-07,1405
Scotland,2022-02-08,103
Northern Ireland,2022-02-08,39
England,2022-02-08,1266
Wales,2022-02-08,20
United Kingdom,2022-02-08,1428
Scotland,2022-02-09,94
Northern Ireland,2022-02-09,52
England,2022-02-09,1220
Wales,2022-02-09,22
United Kingdom,2022-02-09,1388
Scotland,2022-02-10,80
Northern Ireland,2022-02-10,34
England,2022-02-10,1167
Wales,2022-02-10,21
United Kingdom,2022-02-10,1302
Scotland,2022-02-11,76
Northern Ireland,2022-02-11,33
England,2022-02-11,996
Wales,2022-02-11,20
United Kingdom,2022-02-11,1125
Scotland,2022-02-12,61
Northern Ireland,2022-02-12,33
England,2022-02-12,989
Wales,2022-02-12,18
United Kingdom,2022-02-12,1101
Scotland,2022-02-13,73
Northern Ireland,2022-02-13,23
England,2022-02-13,1029
Wales,2022-02-13,17
United Kingdom,2022-02-13,1142
Scotland,2022-02-14,102
Northern Ireland,2022-02-14,16
England,2022-02-14,1132
Wales,2022-02-14,30
United Kingdom,2022-02-14,1280
Northern Ireland,2022-02-15,27
England,2022-02-15,1144
Wales,2022-02-15,23
Northern Ireland,2022-02-16,26
England,2022-02-16,1120
Wales,2022-02-16,27
Northern Ireland,2022-02-17,20
Wales,2022-02-17,18
