Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Merthyr Tydfil,0 (0 -- 1),Decreasing,0.45 (0.2 -- 0.85),-0.17 (-0.26 -- -0.043),-4.2 (-16 -- -2.6)
Merton,3 (1 -- 6),Likely decreasing,0.8 (0.58 -- 1),-0.056 (-0.12 -- 0.0077),-12 (90 -- -5.6)
Mid Ulster,2 (0 -- 29),Likely decreasing,0.72 (0.29 -- 2.3),-0.08 (-0.23 -- 0.32),-8.7 (2.1 -- -3.1)
Mid and East Antrim,1 (0 -- 4),Likely decreasing,0.75 (0.45 -- 1.2),-0.071 (-0.17 -- 0.061),-9.8 (11 -- -4.2)
Middlesbrough,4 (2 -- 10),Likely decreasing,0.88 (0.66 -- 1.2),-0.035 (-0.1 -- 0.043),-20 (16 -- -6.9)
Midlothian,1 (0 -- 4),Decreasing,0.79 (0.53 -- 0.96),-0.059 (-0.14 -- -0.011),-12 (-63 -- -4.9)
Milton Keynes,11 (6 -- 19),Likely decreasing,0.94 (0.78 -- 1.1),-0.016 (-0.061 -- 0.036),-44 (19 -- -11)
Monmouthshire,0 (0 -- 1),Decreasing,0.84 (0.55 -- 0.91),-0.046 (-0.13 -- -0.025),-15 (-28 -- -5.2)
Moray,7 (3 -- 23),Stable,1 (0.75 -- 1.4),0.0095 (-0.071 -- 0.099),73 (7 -- -9.8)
Na h-Eileanan Siar,0 (0 -- 0),Decreasing,0.48 (0.11 -- 1),-0.16 (-0.3 -- 0.0032),-4.4 (220 -- -2.3)
Neath Port Talbot,4 (1 -- 8),Likely decreasing,0.87 (0.56 -- 1),-0.037 (-0.13 -- 0.011),-19 (62 -- -5.3)
Newcastle upon Tyne,12 (6 -- 21),Likely decreasing,0.9 (0.73 -- 1.1),-0.028 (-0.079 -- 0.027),-25 (26 -- -8.8)
Newham,15 (8 -- 29),Stable,1 (0.8 -- 1.3),0.0018 (-0.056 -- 0.079),380 (8.8 -- -12)
Newport,2 (1 -- 5),Likely decreasing,0.86 (0.68 -- 1),-0.04 (-0.091 -- 0.0026),-17 (260 -- -7.6)
"Newry, Mourne and Down",102 (24 -- 520),Increasing,2.3 (1.2 -- 4.6),0.32 (0.054 -- 0.76),2.2 (0.91 -- 13)
