Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Stockton-on-Tees,0 (0 -- 6),Likely decreasing,0.79 (0.032 -- 2.2),-0.059 (-0.35 -- 0.3),-12 (2.3 -- -2)
Stoke-on-Trent,1 (0 -- 20),Likely increasing,1.1 (0.51 -- 2.2),0.022 (-0.15 -- 0.29),32 (2.4 -- -4.7)
Suffolk,1 (0 -- 48),Likely increasing,1.1 (0.34 -- 2.8),0.023 (-0.21 -- 0.42),30 (1.6 -- -3.4)
Sunderland,0 (0 -- 18),Likely decreasing,0.82 (0.27 -- 2.3),-0.049 (-0.23 -- 0.31),-14 (2.2 -- -3)
Surrey,2 (0 -- 15),Likely increasing,1.1 (0.58 -- 1.6),0.034 (-0.12 -- 0.16),20 (4.4 -- -5.6)
Tameside,0 (0 -- 6),Stable,0.95 (0.34 -- 2),-0.013 (-0.2 -- 0.24),-52 (2.9 -- -3.4)
Torbay,0 (0 -- 19),Stable,1 (0.18 -- 2.3),0.013 (-0.27 -- 0.3),53 (2.3 -- -2.6)
Tower Hamlets,0 (0 -- 4),Stable,1 (0.21 -- 1.6),0.0021 (-0.26 -- 0.17),330 (4.2 -- -2.6)
Trafford,0 (0 -- 70),Stable,1.1 (0.45 -- 3.3),0.022 (-0.17 -- 0.51),32 (1.4 -- -4.1)
Wakefield,2 (0 -- 29),Likely increasing,1.1 (0.57 -- 2),0.024 (-0.13 -- 0.26),29 (2.7 -- -5.4)
Walsall,0 (0 -- 4),Stable,1 (0.33 -- 1.4),0.0084 (-0.21 -- 0.11),83 (6.2 -- -3.3)
Waltham Forest,0 (0 -- 3),Stable,1.1 (0.45 -- 1.5),0.014 (-0.17 -- 0.13),49 (5.3 -- -4.1)
Warrington,0 (0 -- 0),Likely decreasing,0.68 (0.021 -- 1.6),-0.093 (-0.36 -- 0.16),-7.5 (4.4 -- -1.9)
Warwickshire,1 (0 -- 12),Likely increasing,1.2 (0.83 -- 1.7),0.041 (-0.049 -- 0.17),17 (4 -- -14)
West Sussex,0 (0 -- 6),Likely decreasing,0.89 (0.14 -- 1.7),-0.031 (-0.29 -- 0.18),-23 (3.8 -- -2.4)
Wigan,0 (0 -- 3),Stable,0.96 (0.54 -- 1.6),-0.011 (-0.14 -- 0.15),-65 (4.7 -- -5)
Wiltshire,1 (0 -- 220),Likely increasing,1.2 (0.79 -- 3.9),0.062 (-0.06 -- 0.64),11 (1.1 -- -12)
Wirral,0 (0 -- 6),Stable,1 (0.41 -- 1.7),-0.00046 (-0.18 -- 0.18),-1500 (3.8 -- -3.8)
Wolverhampton,0 (0 -- 4),Likely decreasing,0.86 (0.18 -- 1.7),-0.04 (-0.27 -- 0.18),-17 (3.9 -- -2.6)
Worcestershire,2 (0 -- 12),Likely increasing,1.1 (0.49 -- 1.6),0.031 (-0.15 -- 0.14),22 (4.8 -- -4.5)
