region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,bottom,top,lower,upper,central_lower,central_upper
Midlands,2020-11-01,,estimate,0.012,0.013,0.012,,,,,,,-0.007,0.033,0.004,0.02,0.009,0.015
London,2020-09-06,,estimate,0.012,0.013,0.016,,,,,,,-0.014,0.039,-0.001,0.023,0.004,0.013
East of England,2020-08-25,,estimate,0.012,0.014,0.019,-0.014,0.001,0.008,0.017,0.026,0.049,,,,,,
East of England,2020-11-12,,estimate based on partial data,0.013,0.01,0.029,-0.042,-0.006,0.006,0.019,0.029,0.051,,,,,,
East of England,2020-09-06,,estimate,0.013,0.012,0.009,-0.005,0.006,0.01,0.015,0.019,0.025,,,,,,
United Kingdom,2020-10-13,,estimate,0.013,0.013,0.008,,,,,,,-0.001,0.026,0.008,0.019,0.012,0.016
United Kingdom,2020-10-14,,estimate,0.013,0.013,0.008,,,,,,,0,0.027,0.008,0.018,0.011,0.015
England,2020-10-24,,estimate,0.013,0.013,0.009,,,,,,,0,0.03,0.006,0.018,0.012,0.017
London,2020-10-20,,estimate,0.013,0.013,0.01,,,,,,,-0.004,0.03,0.007,0.02,0.009,0.014
London,2020-10-31,,estimate,0.013,0.013,0.011,,,,,,,-0.007,0.031,0.007,0.022,0.01,0.015
East of England,2020-11-11,,estimate based on partial data,0.014,0.012,0.025,-0.033,-0.002,0.008,0.02,0.029,0.049,,,,,,
United Kingdom,2020-10-12,,estimate,0.014,0.014,0.008,,,,,,,-0.001,0.027,0.01,0.021,0.014,0.018
England,2020-10-15,,estimate,0.014,0.014,0.008,,,,,,,0,0.028,0.009,0.019,0.012,0.016
North West,2020-10-06,,estimate,0.014,0.014,0.008,,,,,,,0.001,0.027,0.009,0.02,0.015,0.019
England,2020-10-23,,estimate,0.014,0.014,0.009,,,,,,,0,0.029,0.007,0.019,0.013,0.017
London,2020-10-19,,estimate,0.014,0.014,0.01,,,,,,,-0.002,0.03,0.008,0.021,0.012,0.017
North East and Yorkshire,2020-10-27,,estimate,0.014,0.014,0.011,,,,,,,-0.003,0.031,0.006,0.02,0.01,0.015
South West,2020-11-01,,estimate,0.014,0.014,0.014,,,,,,,-0.01,0.036,0.007,0.025,0.01,0.016
London,2020-09-07,,estimate,0.014,0.014,0.015,,,,,,,-0.011,0.038,0.002,0.024,0.009,0.017
England,2020-10-22,,estimate,0.014,0.015,0.009,,,,,,,0,0.03,0.008,0.019,0.013,0.017
England,2020-10-21,,estimate,0.014,0.015,0.009,,,,,,,0.001,0.029,0.007,0.019,0.013,0.017
Wales,2020-10-20,,estimate,0.014,0.015,0.011,,,,,,,-0.002,0.033,0.004,0.019,0.011,0.017
East of England,2020-08-24,,estimate,0.014,0.016,0.022,-0.016,0.001,0.009,0.019,0.03,0.057,,,,,,
England,2020-10-14,,estimate,0.015,0.014,0.009,,,,,,,0,0.028,0.01,0.021,0.014,0.018
Scotland,2020-10-08,,estimate,0.015,0.014,0.009,,,,,,,0,0.029,0.01,0.022,0.012,0.016
England,2020-10-17,,estimate,0.015,0.015,0.008,,,,,,,0.001,0.028,0.009,0.02,0.013,0.017
England,2020-10-18,,estimate,0.015,0.015,0.008,,,,,,,0.001,0.028,0.009,0.02,0.013,0.017
England,2020-10-16,,estimate,0.015,0.015,0.008,,,,,,,0.002,0.029,0.009,0.019,0.013,0.017
England,2020-10-19,,estimate,0.015,0.015,0.009,,,,,,,0.001,0.029,0.008,0.019,0.011,0.015
England,2020-10-20,,estimate,0.015,0.015,0.009,,,,,,,0.001,0.029,0.01,0.021,0.012,0.016
United Kingdom,2020-10-11,,estimate,0.015,0.015,0.009,,,,,,,0.001,0.029,0.01,0.021,0.012,0.016
England,2020-10-12,,estimate,0.015,0.015,0.009,,,,,,,0.001,0.029,0.01,0.021,0.013,0.017
England,2020-10-13,,estimate,0.015,0.015,0.009,,,,,,,0.001,0.029,0.01,0.022,0.015,0.019
North East and Yorkshire,2020-10-18,,estimate,0.015,0.015,0.01,,,,,,,-0.001,0.031,0.008,0.021,0.013,0.017
London,2020-11-01,,estimate,0.015,0.015,0.012,,,,,,,-0.005,0.034,0.007,0.022,0.014,0.019
Midlands,2020-10-31,,estimate,0.015,0.015,0.012,,,,,,,-0.004,0.034,0.007,0.022,0.011,0.016
East of England,2020-08-23,,estimate,0.015,0.018,0.026,-0.018,0.001,0.01,0.022,0.033,0.066,,,,,,
East of England,2020-11-10,,estimate based on partial data,0.016,0.014,0.022,-0.024,0.002,0.011,0.021,0.029,0.047,,,,,,
East of England,2020-09-07,,estimate,0.016,0.015,0.009,-0.002,0.009,0.014,0.018,0.021,0.028,,,,,,
South West,2020-10-31,,estimate,0.016,0.015,0.013,,,,,,,-0.007,0.037,0.006,0.024,0.012,0.018
North West,2020-10-05,,estimate,0.016,0.016,0.008,,,,,,,0.002,0.028,0.012,0.022,0.016,0.02
England,2020-10-11,,estimate,0.016,0.016,0.009,,,,,,,0.001,0.029,0.01,0.021,0.013,0.017
United Kingdom,2020-10-10,,estimate,0.016,0.016,0.009,,,,,,,0.002,0.03,0.011,0.023,0.014,0.018
London,2020-10-18,,estimate,0.016,0.016,0.01,,,,,,,-0.001,0.032,0.009,0.022,0.014,0.018
North East and Yorkshire,2020-10-26,,estimate,0.016,0.016,0.011,,,,,,,-0.002,0.033,0.009,0.023,0.011,0.016
North East and Yorkshire,2020-10-19,,estimate,0.016,0.017,0.01,,,,,,,0,0.033,0.009,0.022,0.014,0.019
East of England,2020-10-21,,estimate,0.017,0.016,0.008,0.001,0.012,0.015,0.019,0.021,0.027,,,,,,
East of England,2020-10-22,,estimate,0.017,0.016,0.008,0.001,0.012,0.015,0.019,0.021,0.027,,,,,,
North East and Yorkshire,2020-10-04,,estimate,0.017,0.016,0.01,,,,,,,-0.001,0.032,0.008,0.022,0.017,0.022
England,2020-10-10,,estimate,0.017,0.017,0.009,,,,,,,0.002,0.03,0.011,0.022,0.015,0.019
Midlands,2020-10-30,,estimate,0.017,0.017,0.011,,,,,,,-0.001,0.035,0.009,0.024,0.013,0.019
South West,2020-09-10,,estimate,0.017,0.017,0.012,,,,,,,-0.002,0.039,0.01,0.026,0.013,0.019
South West,2020-10-30,,estimate,0.017,0.017,0.013,,,,,,,-0.004,0.039,0.009,0.026,0.011,0.018
London,2020-11-02,,estimate,0.017,0.017,0.013,,,,,,,-0.003,0.039,0.007,0.024,0.015,0.02
London,2020-09-08,,estimate,0.017,0.017,0.014,,,,,,,-0.005,0.04,0.007,0.026,0.011,0.019
London,2020-10-17,,estimate,0.017,0.018,0.01,,,,,,,0,0.033,0.011,0.024,0.015,0.019
East of England,2020-10-23,,estimate,0.018,0.017,0.008,0.002,0.013,0.016,0.019,0.022,0.027,,,,,,
East of England,2020-10-20,,estimate,0.018,0.017,0.008,0.003,0.013,0.016,0.019,0.022,0.028,,,,,,
East of England,2020-10-24,,estimate,0.018,0.017,0.008,0.004,0.014,0.017,0.02,0.022,0.028,,,,,,
United Kingdom,2020-10-09,,estimate,0.018,0.017,0.009,,,,,,,0.003,0.032,0.012,0.024,0.016,0.02
East of England,2020-11-09,,estimate based on partial data,0.018,0.017,0.019,-0.016,0.006,0.013,0.022,0.029,0.045,,,,,,
East of England,2020-10-19,,estimate,0.018,0.018,0.007,0.004,0.014,0.017,0.02,0.023,0.028,,,,,,
Scotland,2020-10-07,,estimate,0.018,0.018,0.009,,,,,,,0.004,0.032,0.014,0.025,0.015,0.02
England,2020-10-09,,estimate,0.018,0.018,0.009,,,,,,,0.004,0.033,0.012,0.024,0.018,0.022
North East and Yorkshire,2020-10-20,,estimate,0.018,0.018,0.01,,,,,,,0.002,0.035,0.01,0.023,0.016,0.021
North East and Yorkshire,2020-10-25,,estimate,0.018,0.018,0.011,,,,,,,0,0.035,0.009,0.024,0.015,0.02
North East and Yorkshire,2020-10-24,,estimate,0.018,0.019,0.011,,,,,,,0.001,0.036,0.009,0.023,0.015,0.021
Wales,2020-10-19,,estimate,0.018,0.019,0.011,,,,,,,0.001,0.036,0.01,0.024,0.016,0.022
East of England,2020-10-25,,estimate,0.019,0.019,0.007,0.007,0.015,0.018,0.021,0.023,0.029,,,,,,
East of England,2020-10-18,,estimate,0.019,0.019,0.007,0.007,0.015,0.018,0.021,0.024,0.029,,,,,,
North West,2020-10-04,,estimate,0.019,0.019,0.008,,,,,,,0.005,0.032,0.014,0.025,0.019,0.023
East of England,2020-09-08,,estimate,0.019,0.019,0.009,0.003,0.013,0.017,0.021,0.025,0.032,,,,,,
North East and Yorkshire,2020-10-21,,estimate,0.019,0.019,0.01,,,,,,,0.002,0.036,0.011,0.026,0.014,0.019
London,2020-10-16,,estimate,0.019,0.019,0.01,,,,,,,0.002,0.036,0.012,0.025,0.016,0.021
North East and Yorkshire,2020-10-23,,estimate,0.019,0.019,0.011,,,,,,,0.001,0.036,0.01,0.025,0.013,0.019
Midlands,2020-10-29,,estimate,0.019,0.019,0.011,,,,,,,0.002,0.039,0.012,0.026,0.016,0.022
Midlands,2020-10-14,,estimate,0.019,0.019,0.011,,,,,,,0.003,0.037,0.013,0.026,0.015,0.02
Midlands,2020-10-13,,estimate,0.019,0.019,0.011,,,,,,,0.003,0.038,0.013,0.026,0.017,0.022
South West,2020-10-29,,estimate,0.019,0.019,0.013,,,,,,,-0.002,0.041,0.011,0.028,0.016,0.022
Midlands,2020-10-15,,estimate,0.019,0.02,0.01,,,,,,,0.002,0.036,0.014,0.027,0.017,0.021
North East and Yorkshire,2020-10-22,,estimate,0.019,0.02,0.011,,,,,,,0.002,0.037,0.011,0.025,0.014,0.019
London,2020-11-03,,estimate,0.019,0.02,0.014,,,,,,,-0.003,0.044,0.009,0.027,0.016,0.023
East of England,2020-11-08,,estimate based on partial data,0.02,0.019,0.016,-0.008,0.009,0.016,0.023,0.029,0.044,,,,,,
East of England,2020-10-26,,estimate,0.02,0.02,0.007,0.009,0.016,0.019,0.022,0.025,0.031,,,,,,
United Kingdom,2020-10-08,,estimate,0.02,0.02,0.009,,,,,,,0.005,0.033,0.013,0.025,0.02,0.024
England,2020-10-08,,estimate,0.02,0.02,0.009,,,,,,,0.005,0.034,0.014,0.026,0.019,0.024
Midlands,2020-10-16,,estimate,0.02,0.02,0.01,,,,,,,0.004,0.038,0.013,0.026,0.017,0.022
South East,2020-09-12,,estimate,0.02,0.02,0.011,,,,,,,0,0.036,0.014,0.028,0.019,0.024
Midlands,2020-10-12,,estimate,0.02,0.02,0.011,,,,,,,0.002,0.038,0.013,0.026,0.017,0.022
London,2020-10-15,,estimate,0.02,0.021,0.011,,,,,,,0.004,0.038,0.013,0.026,0.017,0.022
East of England,2020-10-17,,estimate,0.021,0.021,0.007,0.009,0.017,0.019,0.023,0.025,0.031,,,,,,
Midlands,2020-10-17,,estimate,0.021,0.021,0.01,,,,,,,0.004,0.037,0.014,0.027,0.022,0.026
Midlands,2020-10-11,,estimate,0.021,0.021,0.011,,,,,,,0.003,0.038,0.013,0.027,0.019,0.024
Midlands,2020-10-28,,estimate,0.021,0.021,0.011,,,,,,,0.003,0.04,0.013,0.027,0.018,0.023
Northern Ireland,2020-10-07,,estimate,0.021,0.021,0.011,,,,,,,0.004,0.039,0.014,0.028,0.02,0.026
Midlands,2020-09-08,,estimate,0.021,0.021,0.013,,,,,,,0,0.042,0.011,0.029,0.016,0.022
South West,2020-10-28,,estimate,0.021,0.021,0.013,,,,,,,0,0.043,0.013,0.03,0.018,0.024
Midlands,2020-09-09,,estimate,0.021,0.021,0.013,,,,,,,0.001,0.042,0.011,0.028,0.017,0.023
London,2020-09-09,,estimate,0.021,0.021,0.013,,,,,,,0.001,0.043,0.013,0.031,0.016,0.022
East of England,2020-10-27,,estimate,0.021,0.022,0.007,0.011,0.017,0.02,0.023,0.026,0.034,,,,,,
East of England,2020-11-07,,estimate based on partial data,0.022,0.021,0.013,-0.001,0.013,0.018,0.025,0.03,0.042,,,,,,
North West,2020-10-03,,estimate,0.022,0.022,0.008,,,,,,,0.008,0.035,0.018,0.029,0.02,0.025
United Kingdom,2020-10-07,,estimate,0.022,0.022,0.009,,,,,,,0.007,0.036,0.017,0.029,0.019,0.023
Scotland,2020-10-06,,estimate,0.022,0.022,0.009,,,,,,,0.007,0.036,0.017,0.029,0.02,0.024
England,2020-10-07,,estimate,0.022,0.022,0.009,,,,,,,0.007,0.037,0.015,0.028,0.022,0.027
North East and Yorkshire,2020-10-03,,estimate,0.022,0.022,0.01,,,,,,,0.005,0.038,0.016,0.029,0.021,0.026
Midlands,2020-10-18,,estimate,0.022,0.022,0.01,,,,,,,0.006,0.04,0.015,0.029,0.021,0.026
Wales,2020-10-18,,estimate,0.022,0.022,0.011,,,,,,,0.005,0.041,0.013,0.027,0.019,0.024
London,2020-10-14,,estimate,0.022,0.022,0.011,,,,,,,0.006,0.041,0.015,0.028,0.02,0.025
Midlands,2020-09-10,,estimate,0.022,0.022,0.012,,,,,,,0.003,0.042,0.015,0.031,0.019,0.025
London,2020-11-04,,estimate based on partial data,0.022,0.022,0.016,,,,,,,-0.005,0.049,0.01,0.031,0.018,0.025
South West,2020-10-27,,estimate,0.022,0.023,0.013,,,,,,,0.003,0.045,0.013,0.03,0.021,0.027
Midlands,2020-10-10,,estimate,0.023,0.022,0.011,,,,,,,0.005,0.041,0.015,0.029,0.021,0.026
East of England,2020-10-16,,estimate,0.023,0.023,0.007,0.012,0.018,0.021,0.024,0.027,0.034,,,,,,
East of England,2020-09-09,,estimate,0.023,0.023,0.008,0.008,0.018,0.021,0.025,0.029,0.035,,,,,,
Midlands,2020-10-27,,estimate,0.023,0.023,0.011,,,,,,,0.004,0.041,0.016,0.031,0.019,0.024
East of England,2020-11-06,,estimate based on partial data,0.023,0.023,0.011,0.005,0.016,0.02,0.026,0.031,0.041,,,,,,
Midlands,2020-09-07,,estimate,0.023,0.023,0.013,,,,,,,0.001,0.044,0.015,0.032,0.016,0.023
East of England,2020-10-28,,estimate,0.023,0.024,0.008,0.013,0.019,0.021,0.024,0.028,0.037,,,,,,
Midlands,2020-10-19,,estimate,0.023,0.024,0.01,,,,,,,0.005,0.039,0.016,0.029,0.021,0.027
London,2020-10-13,,estimate,0.023,0.024,0.011,,,,,,,0.007,0.042,0.016,0.029,0.022,0.026
Midlands,2020-10-26,,estimate,0.024,0.024,0.012,,,,,,,0.005,0.043,0.015,0.03,0.021,0.027
Midlands,2020-09-11,,estimate,0.024,0.024,0.012,,,,,,,0.005,0.044,0.016,0.031,0.022,0.027
South West,2020-10-26,,estimate,0.024,0.024,0.013,,,,,,,0.003,0.045,0.015,0.032,0.019,0.025
Northern Ireland,2020-09-05,,estimate,0.024,0.024,0.013,,,,,,,0.004,0.046,0.017,0.033,0.022,0.028
East of England,2020-10-29,,estimate,0.024,0.025,0.008,0.014,0.02,0.022,0.026,0.029,0.04,,,,,,
Midlands,2020-10-20,,estimate,0.024,0.025,0.011,,,,,,,0.007,0.042,0.017,0.031,0.022,0.027
London,2020-11-05,,estimate based on partial data,0.024,0.025,0.019,,,,,,,-0.007,0.054,0.012,0.035,0.019,0.027
East of England,2020-10-15,,estimate,0.025,0.025,0.007,0.014,0.02,0.023,0.026,0.029,0.037,,,,,,
England,2020-10-06,,estimate,0.025,0.025,0.009,,,,,,,0.01,0.039,0.02,0.032,0.024,0.029
United Kingdom,2020-10-06,,estimate,0.025,0.025,0.009,,,,,,,0.01,0.039,0.021,0.032,0.021,0.025
East of England,2020-11-05,,estimate based on partial data,0.025,0.025,0.01,0.009,0.018,0.022,0.027,0.031,0.041,,,,,,
Midlands,2020-10-21,,estimate,0.025,0.025,0.011,,,,,,,0.007,0.042,0.017,0.031,0.021,0.026
Midlands,2020-10-09,,estimate,0.025,0.025,0.011,,,,,,,0.007,0.043,0.017,0.031,0.024,0.029
Wales,2020-10-17,,estimate,0.025,0.025,0.011,,,,,,,0.008,0.044,0.016,0.03,0.02,0.025
London,2020-10-12,,estimate,0.025,0.025,0.011,,,,,,,0.009,0.044,0.019,0.032,0.021,0.026
Midlands,2020-10-25,,estimate,0.025,0.025,0.012,,,,,,,0.006,0.044,0.016,0.031,0.023,0.028
East of England,2020-10-30,,estimate,0.025,0.026,0.009,0.014,0.02,0.023,0.027,0.031,0.043,,,,,,
Midlands,2020-10-23,,estimate,0.025,0.026,0.011,,,,,,,0.008,0.045,0.016,0.031,0.021,0.027
Midlands,2020-10-22,,estimate,0.025,0.026,0.011,,,,,,,0.009,0.045,0.017,0.032,0.021,0.026
Midlands,2020-10-24,,estimate,0.025,0.026,0.012,,,,,,,0.006,0.044,0.016,0.031,0.021,0.027
South West,2020-10-25,,estimate,0.025,0.026,0.013,,,,,,,0.005,0.047,0.016,0.033,0.019,0.025
North West,2020-10-02,,estimate,0.026,0.025,0.008,,,,,,,0.012,0.039,0.021,0.032,0.025,0.029
Scotland,2020-10-05,,estimate,0.026,0.026,0.009,,,,,,,0.011,0.04,0.022,0.034,0.024,0.028
East of England,2020-11-04,,estimate,0.026,0.026,0.01,0.012,0.02,0.024,0.028,0.032,0.042,,,,,,
Northern Ireland,2020-09-06,,estimate,0.026,0.026,0.012,,,,,,,0.005,0.046,0.019,0.035,0.024,0.03
South West,2020-09-11,,estimate,0.026,0.026,0.012,,,,,,,0.006,0.046,0.018,0.034,0.021,0.026
London,2020-09-10,,estimate,0.026,0.026,0.012,,,,,,,0.007,0.045,0.018,0.034,0.021,0.026
Midlands,2020-09-06,,estimate,0.026,0.026,0.013,,,,,,,0.003,0.046,0.017,0.035,0.022,0.028
London,2020-10-11,,estimate,0.026,0.027,0.01,,,,,,,0.01,0.044,0.02,0.033,0.025,0.029
East of England,2020-11-03,,estimate,0.026,0.027,0.01,0.013,0.021,0.024,0.029,0.032,0.044,,,,,,
East of England,2020-10-31,,estimate,0.026,0.027,0.01,0.015,0.021,0.024,0.028,0.032,0.045,,,,,,
South West,2020-10-24,,estimate,0.026,0.027,0.013,,,,,,,0.007,0.049,0.018,0.035,0.021,0.027
London,2020-11-06,,estimate based on partial data,0.026,0.027,0.021,,,,,,,-0.008,0.061,0.013,0.04,0.021,0.031
East of England,2020-11-01,,estimate,0.026,0.028,0.01,0.015,0.021,0.024,0.028,0.032,0.046,,,,,,
East of England,2020-10-14,,estimate,0.027,0.027,0.008,0.016,0.023,0.025,0.028,0.031,0.04,,,,,,
Midlands,2020-09-12,,estimate,0.027,0.027,0.011,,,,,,,0.008,0.046,0.019,0.034,0.024,0.03
South West,2020-10-13,,estimate,0.027,0.027,0.012,,,,,,,0.008,0.047,0.02,0.035,0.022,0.028
South West,2020-10-14,,estimate,0.027,0.027,0.012,,,,,,,0.008,0.047,0.02,0.035,0.023,0.028
South West,2020-10-12,,estimate,0.027,0.027,0.012,,,,,,,0.008,0.047,0.02,0.035,0.023,0.029
South West,2020-10-15,,estimate,0.027,0.027,0.012,,,,,,,0.008,0.047,0.02,0.036,0.025,0.031
East of England,2020-11-02,,estimate,0.027,0.028,0.01,0.014,0.021,0.025,0.029,0.033,0.046,,,,,,
Wales,2020-10-16,,estimate,0.027,0.028,0.011,,,,,,,0.011,0.046,0.019,0.033,0.024,0.029
South West,2020-10-23,,estimate,0.027,0.028,0.013,,,,,,,0.007,0.048,0.02,0.037,0.023,0.029
South East,2020-11-14,,estimate based on partial data,0.027,0.03,0.063,,,,,,,-0.075,0.131,-0.015,0.06,0.008,0.035
South East,2020-11-15,,forecast,0.027,0.03,0.063,,,,,,,-0.075,0.131,-0.015,0.06,0.008,0.035
South East,2020-11-16,,forecast,0.027,0.03,0.063,,,,,,,-0.075,0.131,-0.015,0.06,0.008,0.035
South East,2020-11-17,,forecast,0.027,0.03,0.063,,,,,,,-0.075,0.131,-0.015,0.06,0.008,0.035
South East,2020-11-18,,forecast,0.027,0.03,0.063,,,,,,,-0.075,0.131,-0.015,0.06,0.008,0.035
South East,2020-11-19,,forecast,0.027,0.03,0.063,,,,,,,-0.075,0.131,-0.015,0.06,0.008,0.035
South East,2020-11-20,,forecast,0.027,0.03,0.063,,,,,,,-0.075,0.131,-0.015,0.06,0.008,0.035
South East,2020-11-21,,forecast,0.027,0.03,0.063,,,,,,,-0.075,0.131,-0.015,0.06,0.008,0.035
South East,2020-11-22,,forecast,0.027,0.03,0.063,,,,,,,-0.075,0.131,-0.015,0.06,0.008,0.035
South East,2020-11-23,,forecast,0.027,0.03,0.063,,,,,,,-0.075,0.131,-0.015,0.06,0.008,0.035
South East,2020-11-24,,forecast,0.027,0.03,0.063,,,,,,,-0.075,0.131,-0.015,0.06,0.008,0.035
South East,2020-11-25,,forecast,0.027,0.03,0.063,,,,,,,-0.075,0.131,-0.015,0.06,0.008,0.035
South East,2020-11-26,,forecast,0.027,0.03,0.063,,,,,,,-0.075,0.131,-0.015,0.06,0.008,0.035
South East,2020-11-27,,forecast,0.027,0.03,0.063,,,,,,,-0.075,0.131,-0.015,0.06,0.008,0.035
South East,2020-11-28,,forecast,0.027,0.03,0.063,,,,,,,-0.075,0.131,-0.015,0.06,0.008,0.035
East of England,2020-09-10,,estimate,0.028,0.027,0.008,0.013,0.022,0.026,0.03,0.033,0.039,,,,,,
England,2020-10-05,,estimate,0.028,0.028,0.009,,,,,,,0.013,0.042,0.022,0.035,0.025,0.029
North East and Yorkshire,2020-10-02,,estimate,0.028,0.028,0.01,,,,,,,0.012,0.044,0.021,0.035,0.026,0.031
London,2020-10-10,,estimate,0.028,0.028,0.01,,,,,,,0.012,0.045,0.02,0.033,0.026,0.03
Midlands,2020-10-08,,estimate,0.028,0.028,0.011,,,,,,,0.01,0.045,0.021,0.035,0.026,0.031
South West,2020-10-17,,estimate,0.028,0.028,0.012,,,,,,,0.007,0.046,0.02,0.036,0.026,0.032
South West,2020-10-16,,estimate,0.028,0.028,0.012,,,,,,,0.007,0.047,0.019,0.035,0.026,0.032
South West,2020-10-11,,estimate,0.028,0.028,0.012,,,,,,,0.009,0.048,0.02,0.035,0.026,0.032
South West,2020-10-18,,estimate,0.028,0.029,0.012,,,,,,,0.006,0.046,0.02,0.036,0.026,0.032
South West,2020-10-22,,estimate,0.028,0.029,0.013,,,,,,,0.008,0.049,0.019,0.036,0.024,0.03
South East,2020-11-02,,estimate,0.028,0.029,0.014,,,,,,,0.004,0.051,0.018,0.036,0.026,0.033
South East,2020-11-01,,estimate,0.028,0.029,0.014,,,,,,,0.006,0.051,0.019,0.037,0.024,0.031
South East,2020-11-03,,estimate,0.028,0.029,0.016,,,,,,,0.003,0.055,0.019,0.04,0.025,0.032
London,2020-11-07,,estimate based on partial data,0.028,0.029,0.024,,,,,,,-0.014,0.065,0.013,0.045,0.019,0.031
South East,2020-11-13,,estimate based on partial data,0.028,0.03,0.057,,,,,,,-0.062,0.124,-0.01,0.058,0.017,0.042
United Kingdom,2020-10-05,,estimate,0.029,0.028,0.009,,,,,,,0.014,0.042,0.024,0.036,0.03,0.034
North West,2020-10-01,,estimate,0.029,0.029,0.008,,,,,,,0.016,0.042,0.023,0.034,0.029,0.033
Wales,2020-10-15,,estimate,0.029,0.029,0.011,,,,,,,0.013,0.048,0.021,0.035,0.025,0.03
South West,2020-10-19,,estimate,0.029,0.029,0.012,,,,,,,0.009,0.048,0.02,0.036,0.026,0.032
South West,2020-10-20,,estimate,0.029,0.029,0.012,,,,,,,0.009,0.049,0.02,0.036,0.023,0.03
Northern Ireland,2020-09-07,,estimate,0.029,0.029,0.012,,,,,,,0.01,0.049,0.022,0.038,0.027,0.032
South East,2020-10-31,,estimate,0.029,0.029,0.013,,,,,,,0.006,0.048,0.019,0.036,0.023,0.029
South East,2020-10-30,,estimate,0.029,0.029,0.013,,,,,,,0.007,0.049,0.02,0.037,0.024,0.03
South West,2020-10-21,,estimate,0.029,0.029,0.013,,,,,,,0.01,0.05,0.02,0.036,0.023,0.029
South East,2020-11-04,,estimate based on partial data,0.029,0.029,0.017,,,,,,,0.001,0.058,0.016,0.038,0.024,0.032
East of England,2020-10-13,,estimate,0.029,0.03,0.008,0.019,0.025,0.027,0.031,0.034,0.043,,,,,,
London,2020-11-08,,estimate based on partial data,0.029,0.031,0.028,,,,,,,-0.017,0.072,0.01,0.045,0.018,0.031
South East,2020-11-12,,estimate based on partial data,0.029,0.031,0.051,,,,,,,-0.052,0.115,-0.005,0.057,0.015,0.037
South East,2020-11-05,,estimate based on partial data,0.03,0.029,0.02,,,,,,,-0.001,0.063,0.018,0.044,0.03,0.039
London,2020-10-09,,estimate,0.03,0.03,0.01,,,,,,,0.013,0.046,0.023,0.035,0.027,0.032
South East,2020-09-13,,estimate,0.03,0.03,0.011,,,,,,,0.011,0.047,0.024,0.039,0.027,0.033
South East,2020-10-29,,estimate,0.03,0.03,0.012,,,,,,,0.009,0.05,0.022,0.038,0.026,0.032
South West,2020-10-10,,estimate,0.03,0.03,0.012,,,,,,,0.01,0.049,0.021,0.037,0.028,0.033
Midlands,2020-09-05,,estimate,0.03,0.03,0.013,,,,,,,0.01,0.053,0.022,0.039,0.028,0.034
South East,2020-11-06,,estimate based on partial data,0.03,0.03,0.022,,,,,,,-0.008,0.064,0.015,0.045,0.032,0.043
South East,2020-11-07,,estimate based on partial data,0.03,0.03,0.026,,,,,,,-0.013,0.072,0.01,0.045,0.029,0.043
South East,2020-11-08,,estimate based on partial data,0.03,0.03,0.03,,,,,,,-0.022,0.076,0.01,0.049,0.023,0.038
Wales,2020-10-14,,estimate,0.03,0.031,0.01,,,,,,,0.013,0.047,0.023,0.037,0.025,0.03
South East,2020-11-09,,estimate based on partial data,0.03,0.031,0.035,,,,,,,-0.027,0.087,0.005,0.05,0.026,0.042
South East,2020-11-10,,estimate based on partial data,0.03,0.031,0.04,,,,,,,-0.036,0.094,0.001,0.051,0.027,0.044
South East,2020-11-11,,estimate based on partial data,0.03,0.031,0.045,,,,,,,-0.044,0.105,-0.004,0.052,0.024,0.044
London,2020-11-09,,estimate based on partial data,0.03,0.033,0.031,,,,,,,-0.015,0.086,0.009,0.048,0.013,0.027
London,2020-11-13,,estimate based on partial data,0.03,0.035,0.047,,,,,,,-0.04,0.113,-0.001,0.052,0.011,0.03
London,2020-11-14,,estimate based on partial data,0.03,0.035,0.051,,,,,,,-0.048,0.119,-0.007,0.049,0.009,0.029
London,2020-11-15,,forecast,0.03,0.035,0.051,,,,,,,-0.048,0.119,-0.007,0.049,0.009,0.029
London,2020-11-16,,forecast,0.03,0.035,0.051,,,,,,,-0.048,0.119,-0.007,0.049,0.009,0.029
London,2020-11-17,,forecast,0.03,0.035,0.051,,,,,,,-0.048,0.119,-0.007,0.049,0.009,0.029
London,2020-11-18,,forecast,0.03,0.035,0.051,,,,,,,-0.048,0.119,-0.007,0.049,0.009,0.029
London,2020-11-19,,forecast,0.03,0.035,0.051,,,,,,,-0.048,0.119,-0.007,0.049,0.009,0.029
London,2020-11-20,,forecast,0.03,0.035,0.051,,,,,,,-0.048,0.119,-0.007,0.049,0.009,0.029
London,2020-11-21,,forecast,0.03,0.035,0.051,,,,,,,-0.048,0.119,-0.007,0.049,0.009,0.029
London,2020-11-22,,forecast,0.03,0.035,0.051,,,,,,,-0.048,0.119,-0.007,0.049,0.009,0.029
London,2020-11-23,,forecast,0.03,0.035,0.051,,,,,,,-0.048,0.119,-0.007,0.049,0.009,0.029
London,2020-11-24,,forecast,0.03,0.035,0.051,,,,,,,-0.048,0.119,-0.007,0.049,0.009,0.029
London,2020-11-25,,forecast,0.03,0.035,0.051,,,,,,,-0.048,0.119,-0.007,0.049,0.009,0.029
London,2020-11-26,,forecast,0.03,0.035,0.051,,,,,,,-0.048,0.119,-0.007,0.049,0.009,0.029
London,2020-11-27,,forecast,0.03,0.035,0.051,,,,,,,-0.048,0.119,-0.007,0.049,0.009,0.029
