region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,bottom,top,lower,upper,central_lower,central_upper
Wales,2020-10-26,,estimate,-0.017,-0.017,0.01,,,,,,,-0.034,0,-0.023,-0.01,-0.02,-0.015
South East,2020-09-06,,estimate,-0.017,-0.016,0.015,,,,,,,-0.041,0.009,-0.027,-0.007,-0.021,-0.014
South East,2020-09-05,,estimate,-0.017,-0.016,0.016,,,,,,,-0.041,0.01,-0.028,-0.007,-0.02,-0.013
North West,2020-10-27,,estimate,-0.016,-0.016,0.008,,,,,,,-0.029,-0.003,-0.021,-0.011,-0.017,-0.013
Northern Ireland,2020-11-03,,estimate,-0.016,-0.016,0.017,,,,,,,-0.043,0.011,-0.026,-0.004,-0.021,-0.013
North East and Yorkshire,2020-11-12,,estimate based on partial data,-0.015,-0.016,0.039,,,,,,,-0.084,0.043,-0.037,0.011,-0.02,-0.003
North East and Yorkshire,2020-11-13,,estimate based on partial data,-0.015,-0.016,0.043,,,,,,,-0.087,0.052,-0.036,0.017,-0.019,0
North East and Yorkshire,2020-11-14,,estimate based on partial data,-0.015,-0.016,0.047,,,,,,,-0.095,0.056,-0.039,0.018,-0.027,-0.007
North East and Yorkshire,2020-11-15,,forecast,-0.015,-0.016,0.047,,,,,,,-0.095,0.056,-0.039,0.018,-0.027,-0.007
North East and Yorkshire,2020-11-16,,forecast,-0.015,-0.016,0.047,,,,,,,-0.095,0.056,-0.039,0.018,-0.027,-0.007
North East and Yorkshire,2020-11-17,,forecast,-0.015,-0.016,0.047,,,,,,,-0.095,0.056,-0.039,0.018,-0.027,-0.007
North East and Yorkshire,2020-11-18,,forecast,-0.015,-0.016,0.047,,,,,,,-0.095,0.056,-0.039,0.018,-0.027,-0.007
North East and Yorkshire,2020-11-19,,forecast,-0.015,-0.016,0.047,,,,,,,-0.095,0.056,-0.039,0.018,-0.027,-0.007
North East and Yorkshire,2020-11-20,,forecast,-0.015,-0.016,0.047,,,,,,,-0.095,0.056,-0.039,0.018,-0.027,-0.007
North East and Yorkshire,2020-11-21,,forecast,-0.015,-0.016,0.047,,,,,,,-0.095,0.056,-0.039,0.018,-0.027,-0.007
North East and Yorkshire,2020-11-22,,forecast,-0.015,-0.016,0.047,,,,,,,-0.095,0.056,-0.039,0.018,-0.027,-0.007
North East and Yorkshire,2020-11-23,,forecast,-0.015,-0.016,0.047,,,,,,,-0.095,0.056,-0.039,0.018,-0.027,-0.007
North East and Yorkshire,2020-11-24,,forecast,-0.015,-0.016,0.047,,,,,,,-0.095,0.056,-0.039,0.018,-0.027,-0.007
North East and Yorkshire,2020-11-25,,forecast,-0.015,-0.016,0.047,,,,,,,-0.095,0.056,-0.039,0.018,-0.027,-0.007
North East and Yorkshire,2020-11-26,,forecast,-0.015,-0.016,0.047,,,,,,,-0.095,0.056,-0.039,0.018,-0.027,-0.007
North East and Yorkshire,2020-11-27,,forecast,-0.015,-0.016,0.047,,,,,,,-0.095,0.056,-0.039,0.018,-0.027,-0.007
North East and Yorkshire,2020-11-28,,forecast,-0.015,-0.016,0.047,,,,,,,-0.095,0.056,-0.039,0.018,-0.027,-0.007
North East and Yorkshire,2020-11-11,,estimate based on partial data,-0.015,-0.015,0.035,,,,,,,-0.077,0.039,-0.037,0.007,-0.018,-0.002
South East,2020-09-07,,estimate,-0.015,-0.014,0.015,,,,,,,-0.038,0.009,-0.023,-0.004,-0.017,-0.01
North West,2020-10-26,,estimate,-0.014,-0.014,0.008,,,,,,,-0.027,-0.001,-0.019,-0.008,-0.018,-0.014
Northern Ireland,2020-11-04,,estimate based on partial data,-0.014,-0.014,0.019,,,,,,,-0.044,0.016,-0.03,-0.005,-0.021,-0.012
North East and Yorkshire,2020-11-10,,estimate based on partial data,-0.013,-0.015,0.032,,,,,,,-0.064,0.04,-0.034,0.007,-0.017,-0.002
North East and Yorkshire,2020-11-09,,estimate based on partial data,-0.013,-0.014,0.028,,,,,,,-0.061,0.032,-0.03,0.007,-0.014,-0.001
Northern Ireland,2020-10-11,,estimate,-0.013,-0.013,0.011,,,,,,,-0.032,0.004,-0.02,-0.005,-0.019,-0.013
North East and Yorkshire,2020-11-08,,estimate based on partial data,-0.012,-0.013,0.025,,,,,,,-0.055,0.026,-0.026,0.007,-0.01,0.002
North West,2020-10-25,,estimate,-0.012,-0.012,0.008,,,,,,,-0.025,0.002,-0.018,-0.007,-0.015,-0.011
Wales,2020-10-25,,estimate,-0.012,-0.012,0.01,,,,,,,-0.029,0.005,-0.018,-0.005,-0.014,-0.009
Northern Ireland,2020-11-05,,estimate based on partial data,-0.012,-0.012,0.021,,,,,,,-0.047,0.022,-0.026,0.002,-0.021,-0.011
North East and Yorkshire,2020-11-07,,estimate based on partial data,-0.011,-0.012,0.022,,,,,,,-0.048,0.024,-0.022,0.008,-0.015,-0.005
