region,date,confirm
Eastern Cape,2021-11-02,13
Free State,2021-11-02,28
Gauteng,2021-11-02,35
Kwazulu-Natal,2021-11-02,29
Limpopo,2021-11-02,4
Mpumalanga,2021-11-02,22
North-West,2021-11-02,10
Northern Cape,2021-11-02,9
Western Cape,2021-11-02,18
Eastern Cape,2021-11-03,23
Free State,2021-11-03,35
Gauteng,2021-11-03,140
Kwazulu-Natal,2021-11-03,41
Limpopo,2021-11-03,4
Mpumalanga,2021-11-03,18
North-West,2021-11-03,28
Northern Cape,2021-11-03,12
Western Cape,2021-11-03,44
Eastern Cape,2021-11-04,23
Free State,2021-11-04,55
Gauteng,2021-11-04,62
Kwazulu-Natal,2021-11-04,63
Limpopo,2021-11-04,7
Mpumalanga,2021-11-04,27
North-West,2021-11-04,11
Northern Cape,2021-11-04,26
Western Cape,2021-11-04,44
Eastern Cape,2021-11-05,23
Free State,2021-11-05,44
Gauteng,2021-11-05,85
Kwazulu-Natal,2021-11-05,48
Limpopo,2021-11-05,6
Mpumalanga,2021-11-05,23
North-West,2021-11-05,22
Northern Cape,2021-11-05,24
Western Cape,2021-11-05,64
Eastern Cape,2021-11-06,22
Free State,2021-11-06,53
Gauteng,2021-11-06,107
Kwazulu-Natal,2021-11-06,64
Limpopo,2021-11-06,10
Mpumalanga,2021-11-06,35
North-West,2021-11-06,14
Northern Cape,2021-11-06,14
Western Cape,2021-11-06,40
Eastern Cape,2021-11-07,13
Free State,2021-11-07,18
Gauteng,2021-11-07,40
Kwazulu-Natal,2021-11-07,53
Limpopo,2021-11-07,0
Mpumalanga,2021-11-07,6
North-West,2021-11-07,14
Northern Cape,2021-11-07,25
Western Cape,2021-11-07,35
Eastern Cape,2021-11-08,9
Free State,2021-11-08,7
Gauteng,2021-11-08,38
Kwazulu-Natal,2021-11-08,23
Limpopo,2021-11-08,2
Mpumalanga,2021-11-08,9
North-West,2021-11-08,7
Northern Cape,2021-11-08,7
Western Cape,2021-11-08,15
Eastern Cape,2021-11-09,7
Free State,2021-11-09,33
Gauteng,2021-11-09,90
Kwazulu-Natal,2021-11-09,37
Limpopo,2021-11-09,0
Mpumalanga,2021-11-09,17
North-West,2021-11-09,14
Northern Cape,2021-11-09,14
Western Cape,2021-11-09,38
Eastern Cape,2021-11-10,17
