region,date,confirm
Sicilia,2020-11-03,1048
Toscana,2020-11-03,2336
Trentino-Alto Adige,2020-11-03,607
Trentino-Alto Adige,2020-11-03,0
Umbria,2020-11-03,420
Valle d'Aosta,2020-11-03,94
Veneto,2020-11-03,2298
Abruzzo,2020-11-04,423
Basilicata,2020-11-04,226
Calabria,2020-11-04,262
Campania,2020-11-04,4181
Emilia-Romagna,2020-11-04,1756
Friuli Venezia Giulia,2020-11-04,436
Lazio,2020-11-04,2432
Liguria,2020-11-04,1122
Lombardia,2020-11-04,7758
Marche,2020-11-04,653
Molise,2020-11-04,26
Piemonte,2020-11-04,3577
Puglia,2020-11-04,994
Sardegna,2020-11-04,184
Sicilia,2020-11-04,1155
Toscana,2020-11-04,1828
Trentino-Alto Adige,2020-11-04,474
Trentino-Alto Adige,2020-11-04,0
Umbria,2020-11-04,496
Valle d'Aosta,2020-11-04,129
Veneto,2020-11-04,2436
Abruzzo,2020-11-05,571
Basilicata,2020-11-05,135
Calabria,2020-11-05,358
Campania,2020-11-05,3888
Emilia-Romagna,2020-11-05,2177
Friuli Venezia Giulia,2020-11-05,546
Lazio,2020-11-05,2735
Liguria,2020-11-05,1208
Lombardia,2020-11-05,8822
Marche,2020-11-05,698
Molise,2020-11-05,107
Piemonte,2020-11-05,3171
Puglia,2020-11-05,850
Sardegna,2020-11-05,413
Sicilia,2020-11-05,1322
Toscana,2020-11-05,2273
Trentino-Alto Adige,2020-11-05,1082
Trentino-Alto Adige,2020-11-05,0
Umbria,2020-11-05,768
Valle d'Aosta,2020-11-05,114
Veneto,2020-11-05,3264
Abruzzo,2020-11-06,391
Basilicata,2020-11-06,249
Calabria,2020-11-06,264
Campania,2020-11-06,4508
Emilia-Romagna,2020-11-06,1950
Friuli Venezia Giulia,2020-11-06,542
Lazio,2020-11-06,2699
Liguria,2020-11-06,1127
Lombardia,2020-11-06,9934
Marche,2020-11-06,697
Molise,2020-11-06,76
Piemonte,2020-11-06,4878
Puglia,2020-11-06,946
Sardegna,2020-11-06,359
Sicilia,2020-11-06,1423
Toscana,2020-11-06,2592
Trentino-Alto Adige,2020-11-06,974
Trentino-Alto Adige,2020-11-06,0
Umbria,2020-11-06,767
Valle d'Aosta,2020-11-06,129
Veneto,2020-11-06,3297
Abruzzo,2020-11-07,431
Basilicata,2020-11-07,105
Calabria,2020-11-07,392
Campania,2020-11-07,4309
Emilia-Romagna,2020-11-07,2008
Friuli Venezia Giulia,2020-11-07,872
Lazio,2020-11-07,2618
Liguria,2020-11-07,1092
Lombardia,2020-11-07,11489
Marche,2020-11-07,631
Molise,2020-11-07,152
Piemonte,2020-11-07,4437
Puglia,2020-11-07,1054
Sardegna,2020-11-07,425
Sicilia,2020-11-07,1363
Toscana,2020-11-07,2787
Trentino-Alto Adige,2020-11-07,1024
Trentino-Alto Adige,2020-11-07,0
Umbria,2020-11-07,688
Valle d'Aosta,2020-11-07,117
Veneto,2020-11-07,3815
Abruzzo,2020-11-08,583
