region,date,confirm
La Guajira,2021-06-21,56
Magdalena,2021-06-21,363
Meta,2021-06-21,704
Narino,2021-06-21,233
Norte De Santander,2021-06-21,307
Putumayo,2021-06-21,52
Quindio,2021-06-21,111
Risaralda,2021-06-21,504
"San Andres, Providencia Y Santa Catalina",2021-06-21,11
Santander,2021-06-21,1467
Sucre,2021-06-21,405
Tolima,2021-06-21,651
Valle Del Cauca,2021-06-21,2054
Vaupes,2021-06-21,0
Vichada,2021-06-21,1
Amazonas,2021-06-22,0
Antioquia,2021-06-22,3913
Arauca,2021-06-22,108
Atlantico,2021-06-22,431
Bogota,2021-06-22,7830
Bolivar,2021-06-22,1144
Boyaca,2021-06-22,969
Caldas,2021-06-22,797
Caqueta,2021-06-22,77
Casanare,2021-06-22,431
Cauca,2021-06-22,360
Cesar,2021-06-22,249
Choco,2021-06-22,122
Cordoba,2021-06-22,699
Cundinamarca,2021-06-22,2485
Guainia,2021-06-22,36
Guaviare,2021-06-22,27
Huila,2021-06-22,599
La Guajira,2021-06-22,151
Magdalena,2021-06-22,350
Meta,2021-06-22,810
Narino,2021-06-22,546
Norte De Santander,2021-06-22,498
Putumayo,2021-06-22,56
Quindio,2021-06-22,234
Risaralda,2021-06-22,689
"San Andres, Providencia Y Santa Catalina",2021-06-22,18
Santander,2021-06-22,1573
Sucre,2021-06-22,568
Tolima,2021-06-22,468
Valle Del Cauca,2021-06-22,2306
Vaupes,2021-06-22,4
Vichada,2021-06-22,68
Amazonas,2021-06-23,5
Antioquia,2021-06-23,3986
Arauca,2021-06-23,127
Atlantico,2021-06-23,715
Bogota,2021-06-23,9352
Bolivar,2021-06-23,987
Boyaca,2021-06-23,795
Caldas,2021-06-23,690
Caqueta,2021-06-23,95
Casanare,2021-06-23,429
Cauca,2021-06-23,377
Cesar,2021-06-23,623
Choco,2021-06-23,165
Cordoba,2021-06-23,853
Cundinamarca,2021-06-23,2114
Guainia,2021-06-23,3
Guaviare,2021-06-23,71
Huila,2021-06-23,390
La Guajira,2021-06-23,184
Magdalena,2021-06-23,373
