region,date,confirm
Gauteng,2021-10-26,7
Kwazulu-Natal,2021-10-26,7
Limpopo,2021-10-26,0
Mpumalanga,2021-10-26,7
North-West,2021-10-26,0
Northern Cape,2021-10-26,2
Western Cape,2021-10-26,8
,2021-10-26,0
Eastern Cape,2021-10-27,22
Free State,2021-10-27,10
Gauteng,2021-10-27,0
Kwazulu-Natal,2021-10-27,1
Limpopo,2021-10-27,0
Mpumalanga,2021-10-27,0
North-West,2021-10-27,0
Northern Cape,2021-10-27,0
Western Cape,2021-10-27,29
,2021-10-27,0
Eastern Cape,2021-10-28,6
Free State,2021-10-28,16
Gauteng,2021-10-28,4
Kwazulu-Natal,2021-10-28,1
Limpopo,2021-10-28,0
Mpumalanga,2021-10-28,0
North-West,2021-10-28,16
Northern Cape,2021-10-28,5
Western Cape,2021-10-28,7
,2021-10-28,0
Eastern Cape,2021-10-29,8
Free State,2021-10-29,0
Gauteng,2021-10-29,6
Kwazulu-Natal,2021-10-29,2
Limpopo,2021-10-29,14
Mpumalanga,2021-10-29,0
North-West,2021-10-29,0
Northern Cape,2021-10-29,2
Western Cape,2021-10-29,5
,2021-10-29,0
Eastern Cape,2021-10-30,2
Free State,2021-10-30,11
Gauteng,2021-10-30,5
Kwazulu-Natal,2021-10-30,0
Limpopo,2021-10-30,0
Mpumalanga,2021-10-30,3
North-West,2021-10-30,0
Northern Cape,2021-10-30,1
Western Cape,2021-10-30,0
,2021-10-30,0
Eastern Cape,2021-10-31,0
Free State,2021-10-31,0
Gauteng,2021-10-31,3
Kwazulu-Natal,2021-10-31,0
Limpopo,2021-10-31,0
Mpumalanga,2021-10-31,0
North-West,2021-10-31,0
Northern Cape,2021-10-31,11
Western Cape,2021-10-31,0
,2021-10-31,0
Eastern Cape,2021-11-01,0
Free State,2021-11-01,0
Gauteng,2021-11-01,2
Kwazulu-Natal,2021-11-01,0
Limpopo,2021-11-01,0
Mpumalanga,2021-11-01,0
North-West,2021-11-01,0
Northern Cape,2021-11-01,0
Western Cape,2021-11-01,0
,2021-11-01,0
Eastern Cape,2021-11-02,1
Free State,2021-11-02,0
Gauteng,2021-11-02,0
Kwazulu-Natal,2021-11-02,1
Limpopo,2021-11-02,0
Mpumalanga,2021-11-02,0
North-West,2021-11-02,0
Northern Cape,2021-11-02,12
Western Cape,2021-11-02,4
,2021-11-02,0
Eastern Cape,2021-11-03,0
Free State,2021-11-03,5
Gauteng,2021-11-03,3
Kwazulu-Natal,2021-11-03,10
Limpopo,2021-11-03,0
Mpumalanga,2021-11-03,0
North-West,2021-11-03,0
Northern Cape,2021-11-03,5
Western Cape,2021-11-03,0
,2021-11-03,0
Eastern Cape,2021-11-04,8
Free State,2021-11-04,2
Gauteng,2021-11-04,4
Kwazulu-Natal,2021-11-04,1
Limpopo,2021-11-04,0
Mpumalanga,2021-11-04,0
North-West,2021-11-04,0
Northern Cape,2021-11-04,10
Western Cape,2021-11-04,6
,2021-11-04,0
Eastern Cape,2021-11-05,2
Free State,2021-11-05,6
Gauteng,2021-11-05,3
Kwazulu-Natal,2021-11-05,0
Limpopo,2021-11-05,13
Mpumalanga,2021-11-05,0
North-West,2021-11-05,0
Northern Cape,2021-11-05,15
Western Cape,2021-11-05,5
,2021-11-05,0
Eastern Cape,2021-11-06,0
Free State,2021-11-06,0
Gauteng,2021-11-06,3
Kwazulu-Natal,2021-11-06,3
Limpopo,2021-11-06,0
Mpumalanga,2021-11-06,2
North-West,2021-11-06,0
Northern Cape,2021-11-06,10
Western Cape,2021-11-06,6
,2021-11-06,0
Eastern Cape,2021-11-07,0
Free State,2021-11-07,5
Gauteng,2021-11-07,3
Kwazulu-Natal,2021-11-07,0
Limpopo,2021-11-07,5
Mpumalanga,2021-11-07,0
North-West,2021-11-07,0
Northern Cape,2021-11-07,0
Western Cape,2021-11-07,0
,2021-11-07,0
Eastern Cape,2021-11-08,1
Free State,2021-11-08,13
Gauteng,2021-11-08,2
Kwazulu-Natal,2021-11-08,2
Limpopo,2021-11-08,0
Mpumalanga,2021-11-08,0
North-West,2021-11-08,0
Northern Cape,2021-11-08,0
Western Cape,2021-11-08,2
,2021-11-08,0
Eastern Cape,2021-11-09,2
Free State,2021-11-09,15
Gauteng,2021-11-09,1
Kwazulu-Natal,2021-11-09,1
Limpopo,2021-11-09,0
Mpumalanga,2021-11-09,0
North-West,2021-11-09,0
Northern Cape,2021-11-09,16
Western Cape,2021-11-09,0
,2021-11-09,0
Eastern Cape,2021-11-10,0
Free State,2021-11-10,0
Gauteng,2021-11-10,3
Kwazulu-Natal,2021-11-10,3
Limpopo,2021-11-10,0
Mpumalanga,2021-11-10,3
North-West,2021-11-10,13
Northern Cape,2021-11-10,26
