region,date,confirm
United Kingdom,2020-11-27,421
East of England,2020-11-28,30
England,2020-11-28,382
London,2020-11-28,33
Midlands,2020-11-28,102
North East and Yorkshire,2020-11-28,95
North West,2020-11-28,55
Northern Ireland,2020-11-28,11
Scotland,2020-11-28,39
South East,2020-11-28,33
South West,2020-11-28,31
Wales,2020-11-28,32
United Kingdom,2020-11-28,464
East of England,2020-11-29,18
England,2020-11-29,402
London,2020-11-29,48
Midlands,2020-11-29,117
North East and Yorkshire,2020-11-29,80
North West,2020-11-29,55
Northern Ireland,2020-11-29,8
Scotland,2020-11-29,26
South East,2020-11-29,50
South West,2020-11-29,31
Wales,2020-11-29,26
United Kingdom,2020-11-29,462
East of England,2020-11-30,27
England,2020-11-30,361
London,2020-11-30,25
Midlands,2020-11-30,112
North East and Yorkshire,2020-11-30,77
North West,2020-11-30,58
Northern Ireland,2020-11-30,12
Scotland,2020-11-30,31
South East,2020-11-30,32
South West,2020-11-30,29
Wales,2020-11-30,17
United Kingdom,2020-11-30,421
East of England,2020-12-01,32
England,2020-12-01,349
London,2020-12-01,23
Midlands,2020-12-01,106
North East and Yorkshire,2020-12-01,53
North West,2020-12-01,60
Northern Ireland,2020-12-01,8
Scotland,2020-12-01,27
South East,2020-12-01,48
South West,2020-12-01,26
Wales,2020-12-01,19
United Kingdom,2020-12-01,403
East of England,2020-12-02,22
England,2020-12-02,335
London,2020-12-02,28
Midlands,2020-12-02,93
North East and Yorkshire,2020-12-02,72
North West,2020-12-02,52
Northern Ireland,2020-12-02,8
Scotland,2020-12-02,19
South East,2020-12-02,42
South West,2020-12-02,22
Wales,2020-12-02,22
United Kingdom,2020-12-02,384
East of England,2020-12-03,25
England,2020-12-03,404
London,2020-12-03,34
Midlands,2020-12-03,110
North East and Yorkshire,2020-12-03,84
North West,2020-12-03,68
Northern Ireland,2020-12-03,6
Scotland,2020-12-03,34
South East,2020-12-03,56
South West,2020-12-03,24
Wales,2020-12-03,27
United Kingdom,2020-12-03,471
East of England,2020-12-04,28
England,2020-12-04,413
London,2020-12-04,33
Midlands,2020-12-04,111
North East and Yorkshire,2020-12-04,88
North West,2020-12-04,67
Northern Ireland,2020-12-04,7
Scotland,2020-12-04,28
South East,2020-12-04,55
South West,2020-12-04,29
Wales,2020-12-04,26
United Kingdom,2020-12-04,474
East of England,2020-12-05,29
England,2020-12-05,345
London,2020-12-05,27
Midlands,2020-12-05,94
North East and Yorkshire,2020-12-05,72
North West,2020-12-05,53
Northern Ireland,2020-12-05,12
Scotland,2020-12-05,19
South East,2020-12-05,44
South West,2020-12-05,25
Wales,2020-12-05,20
United Kingdom,2020-12-05,396
East of England,2020-12-06,28
England,2020-12-06,354
London,2020-12-06,27
Midlands,2020-12-06,102
North East and Yorkshire,2020-12-06,82
North West,2020-12-06,50
Northern Ireland,2020-12-06,11
Scotland,2020-12-06,28
South East,2020-12-06,45
South West,2020-12-06,17
Wales,2020-12-06,25
United Kingdom,2020-12-06,418
East of England,2020-12-07,26
England,2020-12-07,356
London,2020-12-07,32
Midlands,2020-12-07,98
North East and Yorkshire,2020-12-07,78
North West,2020-12-07,56
Northern Ireland,2020-12-07,17
Scotland,2020-12-07,29
South East,2020-12-07,38
South West,2020-12-07,26
Wales,2020-12-07,20
United Kingdom,2020-12-07,422
East of England,2020-12-08,29
England,2020-12-08,373
London,2020-12-08,34
Midlands,2020-12-08,95
North East and Yorkshire,2020-12-08,67
North West,2020-12-08,60
Northern Ireland,2020-12-08,7
Scotland,2020-12-08,27
South East,2020-12-08,62
South West,2020-12-08,23
Wales,2020-12-08,26
United Kingdom,2020-12-08,433
East of England,2020-12-09,36
England,2020-12-09,374
London,2020-12-09,30
Midlands,2020-12-09,94
North East and Yorkshire,2020-12-09,71
North West,2020-12-09,60
Northern Ireland,2020-12-09,9
Scotland,2020-12-09,23
South East,2020-12-09,54
South West,2020-12-09,27
Wales,2020-12-09,25
United Kingdom,2020-12-09,431
East of England,2020-12-10,37
England,2020-12-10,377
London,2020-12-10,29
Midlands,2020-12-10,94
North East and Yorkshire,2020-12-10,80
North West,2020-12-10,52
Northern Ireland,2020-12-10,13
Scotland,2020-12-10,22
South East,2020-12-10,49
South West,2020-12-10,32
Wales,2020-12-10,32
United Kingdom,2020-12-10,444
East of England,2020-12-11,50
England,2020-12-11,397
London,2020-12-11,27
Midlands,2020-12-11,96
North East and Yorkshire,2020-12-11,77
North West,2020-12-11,47
Northern Ireland,2020-12-11,9
Scotland,2020-12-11,20
South East,2020-12-11,68
South West,2020-12-11,30
Wales,2020-12-11,26
United Kingdom,2020-12-11,452
East of England,2020-12-12,31
England,2020-12-12,373
London,2020-12-12,41
Midlands,2020-12-12,105
North East and Yorkshire,2020-12-12,62
North West,2020-12-12,62
Northern Ireland,2020-12-12,7
Scotland,2020-12-12,23
South East,2020-12-12,54
South West,2020-12-12,16
Wales,2020-12-12,33
United Kingdom,2020-12-12,436
East of England,2020-12-13,36
England,2020-12-13,366
London,2020-12-13,30
Midlands,2020-12-13,96
North East and Yorkshire,2020-12-13,63
North West,2020-12-13,49
Northern Ireland,2020-12-13,5
Scotland,2020-12-13,26
South East,2020-12-13,67
South West,2020-12-13,25
Wales,2020-12-13,22
United Kingdom,2020-12-13,419
East of England,2020-12-14,40
England,2020-12-14,412
London,2020-12-14,37
Midlands,2020-12-14,105
North East and Yorkshire,2020-12-14,72
North West,2020-12-14,59
Northern Ireland,2020-12-14,6
Scotland,2020-12-14,31
South East,2020-12-14,66
South West,2020-12-14,31
Wales,2020-12-14,30
United Kingdom,2020-12-14,479
East of England,2020-12-15,40
England,2020-12-15,385
London,2020-12-15,43
Midlands,2020-12-15,93
North East and Yorkshire,2020-12-15,61
North West,2020-12-15,46
Northern Ireland,2020-12-15,6
Scotland,2020-12-15,31
South East,2020-12-15,69
South West,2020-12-15,30
Wales,2020-12-15,32
United Kingdom,2020-12-15,454
East of England,2020-12-16,41
England,2020-12-16,357
London,2020-12-16,30
Midlands,2020-12-16,89
North East and Yorkshire,2020-12-16,50
North West,2020-12-16,48
Northern Ireland,2020-12-16,13
Scotland,2020-12-16,31
South East,2020-12-16,77
South West,2020-12-16,21
Wales,2020-12-16,34
United Kingdom,2020-12-16,435
East of England,2020-12-17,45
England,2020-12-17,439
London,2020-12-17,62
Midlands,2020-12-17,106
North East and Yorkshire,2020-12-17,73
North West,2020-12-17,36
Northern Ireland,2020-12-17,14
Scotland,2020-12-17,34
South East,2020-12-17,84
South West,2020-12-17,32
Wales,2020-12-17,48
United Kingdom,2020-12-17,535
East of England,2020-12-18,54
England,2020-12-18,435
London,2020-12-18,43
Midlands,2020-12-18,117
North East and Yorkshire,2020-12-18,84
North West,2020-12-18,51
Northern Ireland,2020-12-18,10
Scotland,2020-12-18,23
South East,2020-12-18,66
South West,2020-12-18,19
Wales,2020-12-18,47
United Kingdom,2020-12-18,515
East of England,2020-12-19,63
England,2020-12-19,409
London,2020-12-19,47
Midlands,2020-12-19,81
North East and Yorkshire,2020-12-19,61
North West,2020-12-19,53
Northern Ireland,2020-12-19,15
Scotland,2020-12-19,27
South East,2020-12-19,77
South West,2020-12-19,27
Wales,2020-12-19,34
United Kingdom,2020-12-19,485
East of England,2020-12-20,61
England,2020-12-20,427
London,2020-12-20,51
Midlands,2020-12-20,94
North East and Yorkshire,2020-12-20,67
North West,2020-12-20,46
Northern Ireland,2020-12-20,12
Scotland,2020-12-20,29
South East,2020-12-20,84
South West,2020-12-20,20
Wales,2020-12-20,35
United Kingdom,2020-12-20,503
East of England,2020-12-21,72
England,2020-12-21,495
London,2020-12-21,59
Midlands,2020-12-21,107
North East and Yorkshire,2020-12-21,58
North West,2020-12-21,55
Northern Ireland,2020-12-21,17
Scotland,2020-12-21,24
South East,2020-12-21,113
South West,2020-12-21,26
Wales,2020-12-21,37
United Kingdom,2020-12-21,573
East of England,2020-12-22,57
England,2020-12-22,491
London,2020-12-22,74
Midlands,2020-12-22,109
North East and Yorkshire,2020-12-22,74
North West,2020-12-22,52
Northern Ireland,2020-12-22,10
Scotland,2020-12-22,28
South East,2020-12-22,98
South West,2020-12-22,26
Wales,2020-12-22,35
United Kingdom,2020-12-22,564
East of England,2020-12-23,72
England,2020-12-23,481
London,2020-12-23,66
Midlands,2020-12-23,90
North East and Yorkshire,2020-12-23,68
North West,2020-12-23,57
Northern Ireland,2020-12-23,15
