Country,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Ghana,509 (179 -- 1788),Likely decreasing,0.93 (0.65 -- 1.4),-0.018 (-0.1 -- 0.11),-38 (6.3 -- -6.9)
Gibraltar,0 (0 -- 3),Likely decreasing,0.71 (0.2 -- 1.9),-0.084 (-0.26 -- 0.23),-8.3 (3 -- -2.7)
Greece,2811 (1689 -- 4816),Likely increasing,1.1 (0.89 -- 1.4),0.038 (-0.029 -- 0.11),18 (6.3 -- -24)
Grenada,4 (0 -- 216),Likely increasing,2.5 (0.73 -- 7.3),0.37 (-0.077 -- 1.2),1.9 (0.57 -- -9)
Guadeloupe,154129 (5947 -- 3632130),Increasing,4.3 (1.9 -- 8.9),0.71 (0.21 -- 1.5),0.97 (0.47 -- 3.3)
Guam,0 (0 -- 2),Likely decreasing,0.76 (0.49 -- 1.1),-0.067 (-0.15 -- 0.035),-10 (20 -- -4.5)
Guatemala,510 (261 -- 1065),Stable,1 (0.77 -- 1.3),0.002 (-0.064 -- 0.087),340 (7.9 -- -11)
Guernsey,0 (0 -- 0),Decreasing,0.015 (1.8e-05 -- 0.95),-0.36 (-0.4 -- -0.014),-1.9 (-49 -- -1.7)
Guinea,160 (71 -- 444),Likely increasing,1.2 (0.95 -- 1.5),0.046 (-0.013 -- 0.12),15 (5.8 -- -52)
Guinea-Bissau,2 (0 -- 62),Likely decreasing,0.47 (0.052 -- 1.7),-0.16 (-0.34 -- 0.18),-4.3 (3.8 -- -2.1)
Guyana,28 (9 -- 131),Stable,1 (0.71 -- 1.8),0.0076 (-0.082 -- 0.2),91 (3.5 -- -8.5)
Haiti,8 (1 -- 37),Likely decreasing,0.79 (0.49 -- 1.1),-0.06 (-0.15 -- 0.033),-12 (21 -- -4.5)
Honduras,494 (245 -- 980),Likely decreasing,0.92 (0.74 -- 1.1),-0.022 (-0.073 -- 0.035),-32 (20 -- -9.5)
Hungary,9802 (4774 -- 18021),Likely increasing,1.2 (0.88 -- 1.6),0.062 (-0.034 -- 0.14),11 (4.9 -- -20)
Iceland,0 (0 -- 2),Likely decreasing,0.85 (0.63 -- 1.2),-0.042 (-0.11 -- 0.051),-16 (14 -- -6.3)
India,20635 (15576 -- 26705),Likely increasing,1.1 (0.96 -- 1.2),0.021 (-0.012 -- 0.05),33 (14 -- -59)
Indonesia,4652 (3387 -- 6228),Decreasing,0.88 (0.77 -- 0.99),-0.034 (-0.066 -- -0.0039),-21 (-180 -- -10)
Iraq,5332 (3610 -- 8734),Likely increasing,1.1 (0.89 -- 1.4),0.019 (-0.03 -- 0.096),37 (7.2 -- -23)
Ireland,277 (61 -- 1081),Likely decreasing,0.76 (0.3 -- 1.6),-0.069 (-0.22 -- 0.15),-10 (4.7 -- -3.1)
Isle of Man,35 (1 -- 543),Likely increasing,1.4 (0.33 -- 3.6),0.098 (-0.21 -- 0.57),7.1 (1.2 -- -3.3)
Israel,3226 (1845 -- 5003),Stable,0.98 (0.73 -- 1.2),-0.0055 (-0.077 -- 0.048),-130 (14 -- -8.9)
Italy,27647 (17287 -- 39928),Likely increasing,1.1 (0.88 -- 1.3),0.033 (-0.033 -- 0.085),21 (8.1 -- -21)
Jamaica,343 (173 -- 608),Stable,1 (0.8 -- 1.2),0.0022 (-0.056 -- 0.054),320 (13 -- -12)
Japan,1191 (693 -- 2183),Likely increasing,1.1 (0.85 -- 1.5),0.026 (-0.042 -- 0.12),26 (5.6 -- -16)
Jersey,0 (0 -- 1),Likely decreasing,0.71 (0.28 -- 1.4),-0.085 (-0.23 -- 0.1),-8.2 (6.9 -- -3)
Jordan,8426 (5669 -- 12097),Increasing,1.2 (1 -- 1.4),0.048 (0.0011 -- 0.093),14 (7.5 -- 640)
Kazakhstan,578 (363 -- 873),Likely decreasing,0.88 (0.68 -- 1.1),-0.034 (-0.094 -- 0.027),-21 (26 -- -7.4)
Kenya,578 (340 -- 997),Increasing,1.2 (1 -- 1.4),0.053 (0.00078 -- 0.11),13 (6.1 -- 890)
Kosovo,787 (437 -- 1295),Likely increasing,1.1 (0.84 -- 1.4),0.036 (-0.045 -- 0.11),19 (6.4 -- -16)
Kuwait,3085 (1690 -- 5717),Likely increasing,1.4 (1 -- 1.9),0.1 (5.4e-05 -- 0.23),6.8 (3 -- 13000)
Kyrgyzstan,38 (27 -- 59),Likely decreasing,0.95 (0.85 -- 1.1),-0.015 (-0.041 -- 0.029),-46 (24 -- -17)
Latvia,590 (429 -- 808),Likely decreasing,0.98 (0.88 -- 1.1),-0.0068 (-0.032 -- 0.018),-100 (39 -- -22)
Lebanon,3220 (1772 -- 5275),Stable,1 (0.73 -- 1.3),0.0037 (-0.078 -- 0.075),190 (9.3 -- -8.9)
Lesotho,0 (0 -- 12),Likely decreasing,0.13 (0.00041 -- 1.5),-0.3 (-0.39 -- 0.12),-2.3 (5.6 -- -1.8)
