region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Egypt,1.1 (0.87 -- 1.3),1.1,1.1,0.13,0.87,0.98,1,1.1,1.1,1.3,Effective reproduction no.,Likely increasing,0.3
Eritrea,1.1 (0.73 -- 1.5),1.1,1.1,0.25,0.73,0.98,1.1,1.2,1.3,1.5,Effective reproduction no.,Likely increasing,0.28
Eswatini,1.1 (0.66 -- 1.8),1.1,1.1,0.38,0.66,0.89,1,1.2,1.3,1.8,Effective reproduction no.,Stable,0.41
Finland,1.1 (0.9 -- 1.4),1.1,1.1,0.15,0.9,1,1.1,1.1,1.2,1.4,Effective reproduction no.,Likely increasing,0.22
Georgia,1.1 (0.86 -- 1.4),1.1,1.1,0.16,0.86,0.99,1,1.1,1.2,1.4,Effective reproduction no.,Likely increasing,0.29
Haiti,1.1 (0.88 -- 1.5),1.1,1.2,0.2,0.88,1,1.1,1.2,1.3,1.5,Effective reproduction no.,Likely increasing,0.18
Iceland,1.1 (0.51 -- 2.4),1.1,1.2,0.7,0.51,0.83,0.98,1.2,1.5,2.4,Effective reproduction no.,Stable,0.42
India,1.1 (0.8 -- 1.6),1.1,1.1,0.25,0.8,0.94,1,1.1,1.2,1.6,Effective reproduction no.,Likely increasing,0.36
Kuwait,1.1 (0.87 -- 1.3),1.1,1.1,0.15,0.87,0.99,1,1.1,1.2,1.3,Effective reproduction no.,Likely increasing,0.27
Mali,1.1 (0.97 -- 1.3),1.1,1.1,0.11,0.97,1,1,1.1,1.1,1.3,Effective reproduction no.,Likely increasing,0.1
Mayotte,1.1 (0.87 -- 1.7),1.1,1.2,0.4,0.87,1.1,1.1,1.2,1.2,1.7,Effective reproduction no.,Likely increasing,0.13
Russia,1.1 (1 -- 1.1),1.1,1.1,0.03,1,1.1,1.1,1.1,1.1,1.1,Effective reproduction no.,Increasing,0.001
Slovakia,1.1 (0.86 -- 1.4),1.1,1.1,0.16,0.86,1,1.1,1.1,1.2,1.4,Effective reproduction no.,Likely increasing,0.23
