source,region,date,strat,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
united-kingdom,East of England,2020-12-15,,1.22919861260022,1.226991477772,0.0396283645991691,1.15829649831096,1.20248019127328,1.21990527194309,1.23948849012866,1.25459177398856,1.28709756463174
united-kingdom,East of England,2020-12-16,,1.20981002855025,1.20650250422101,0.0386197526990016,1.13830131399662,1.18260224384865,1.19921158449233,1.2181394670515,1.23351267194802,1.26588773963752
united-kingdom,East of England,2020-12-17,,1.19001711698385,1.1873124710199,0.0367676080702951,1.1231918246509,1.16424107393436,1.18068168482877,1.19801833684779,1.21278215474551,1.24379929764314
united-kingdom,East of England,2020-12-18,,1.17070200898315,1.16935784295402,0.0344859921579942,1.11138899997595,1.14779261482228,1.16204274141378,1.17872123234086,1.19360140019737,1.22388687163741
united-kingdom,East of England,2020-12-19,,1.15266554320801,1.15239086022441,0.0324457790391353,1.09871527112221,1.13134984671005,1.14502549436959,1.16003637161906,1.17470668356514,1.20503116537945
united-kingdom,East of England,2020-12-20,,1.13543140198959,1.13602436838652,0.0313652391508503,1.08466217117654,1.11550869981018,1.12839578842413,1.14337063230449,1.1562237925413,1.18812841763818
united-kingdom,East of England,2020-12-21,,1.11928508935313,1.11978882589324,0.0316118231816011,1.07033118639641,1.09873447556205,1.11102018914885,1.12633057261601,1.13950424611356,1.17430939324657
united-kingdom,East of England,2020-12-22,,1.10187582391696,1.10319916040127,0.0329117573023608,1.05268789018244,1.08144318098083,1.09378929896345,1.10926237419734,1.12260697300096,1.15937559564698
united-kingdom,East of England,2020-12-23,,1.08331935869098,1.08582615630889,0.0345302983794881,1.0341435032804,1.06288845631975,1.07567328211244,1.09156003570546,1.10549360356939,1.14570166734614
united-kingdom,East of England,2020-12-24,,1.0645609689576,1.06736326119023,0.0357186273642714,1.0155624488451,1.04325346356878,1.05600417111438,1.07283190805194,1.08781112904789,1.13001546887865
united-kingdom,East of England,2020-12-25,,1.04456065287515,1.04767729838931,0.036019440131893,0.995538649924588,1.02335026131053,1.03538022991222,1.05308374073766,1.0687997271108,1.1125571830304
united-kingdom,East of England,2020-12-26,,1.02332733159162,1.02683278294007,0.0353491829023938,0.975114358809075,1.00261856118188,1.01508584109486,1.03209575265931,1.04836381343179,1.09079919762057
united-kingdom,East of England,2020-12-27,,1.00206440437014,1.00508492378652,0.0339433475613664,0.954361173251863,0.981466354885987,0.993913563295379,1.01063318989712,1.02540197374994,1.06544385913688
united-kingdom,East of England,2020-12-28,,0.980629781329973,0.982844046268238,0.0322311056493229,0.93392520440023,0.961008783244603,0.972815718800703,0.988128017350926,1.00243157484337,1.03982479447358
united-kingdom,East of England,2020-12-29,,0.95894490931328,0.960620756144774,0.0306721566282857,0.914158490836079,0.939511419936867,0.951694112359499,0.966405725943536,0.979297128022588,1.01329371721263
united-kingdom,East of England,2020-12-30,,0.937962818626078,0.938964112014993,0.0295896265300724,0.892557513150858,0.918684668936057,0.930861735078096,0.945470044923695,0.95808732661233,0.98929276341203
united-kingdom,East of England,2020-12-31,,0.917932613897274,0.918403951455212,0.0290640030832656,0.872189046282231,0.899604856996847,0.91094549303854,0.925603702614107,0.937377006821502,0.965565785583893
united-kingdom,East of England,2021-01-01,,0.899891399202871,0.899404773182036,0.028952762527442,0.852621201440261,0.880741701973576,0.892952437601328,0.907182868813457,0.918998667352216,0.945137963923166
united-kingdom,East of England,2021-01-02,,0.883385441683929,0.882334256819255,0.0290144497382848,0.83465160194866,0.863956712036035,0.876499951520688,0.890495098838272,0.902120858162813,0.928110205692333
